NAME,RATING,REVIEW,COST,URL,BRAND,MODEL NAME,SKU,BATTERY LIFE,BLUETOOTH,BLUETOOTH RANGE,BATTERY LIFE,POWER INPUT,WIRED/WIRELESS,TYPE,COMPATIBLE DEVICES,WARRANTY SUMMARY,ADDITIONAL FEATURE,Generic Name,Country of origin,Country of Manufacturer,Manufacturers Details,Importer Detail,Packers Details,Item Available From Date,Product Dimensions(W x D x H),Product Weight
"Bose Portable Home Speaker - with Alexa Voice Control Built-in, Black",,,"31,500",https://www.vijaysales.com/bose-portable-home-speaker-with-alexa-voice-control-built-in-black/16959,Bose,Portable Home Speaker Black,PORTHOMESPKBLK,,4.2,Up to 9 m (30 ft),,,,Home Speaker,,1 Year Manufacturer Warranty,,Bluetooth Speaker,Mexico,China,Bose Corporation India Private Limited,"Savex Technologies Pvt Ltd. 124B Maker Chamber 3, Nariman Point, Mumbai 400021, India","Bose Corporation India Pvt. Ltd. Tower B, 4Th Floor, N-10, Dlf Cyber City, Dlf Phase 2, Gurugram, Haryana 122007",13 Jan 2020,10.4 x 11.9 x 19.2 cm,1.06 kg
Philips BT40 Portable Bluetooth Speaker with Built-in microphone (Black),3.2,5 Ratings & 5 Reviews,799,https://www.vijaysales.com/philips-bt40-portable-bluetooth-speaker-with-built-in-microphone-black/18074,,BT40,PHBT40,,,10 m,,,,,,,,Bluetooth Speaker,China,China,Kerchan Technology Co. Limited,TPV Technology India Pvt. Ltd.,Kerchan Technology Co. Limited,21 Dec 2019,7.2 X 4.1 X 4.1 cm,140 g
"Noise Zest 3W Wireless Bluetooth Speaker, 8 hrs Playtime with TWS Pairing for Stereo Sound, Dual Equalizer (Bass & Normal Modes) - Coal Black",,,999,https://www.vijaysales.com/noise-zest-3w-wireless-bluetooth-speaker-8-hrs-playtime-with-tws-pairing-for-stereo-sound-dual-equalizer-bass-normal-modes-coal-black/17301,,Zest 3W,ZEST3WBLK,,,10 m,,,,,,,,Bluetooth Speaker,China,China,"TSL, Fulongfuhe Road, Dongguan city - 523025","Nexxbase Marketing Pvt. Ltd, Khasra No-146/25/2/1, Jail Road Badshahpur, Gurugram Haryana-122101, 8882-132-132","Nexxbase Marketing Pvt. Ltd, Khasra No-146/25/2/1, Jail Road Badshahpur, Gurugram Haryana-122101, 8882-132-132",27 Aug 2021,8.6 x 8.6 x 4.9 cm,153 gm
Beats Studio Buds – True Wireless Noise Cancelling Earphones – Black,,,"10,990",https://www.vijaysales.com/beats-studio-buds-true-wireless-noise-cancelling-earphones-black/17643,Beats,Beats Studio Buds,MJ4X3ZM/A,,,,,,,TWS,,,,TWS,China,China,Apple Inc.,"No. 24, 19th Floor, Concrode Tower C, UB City, Vittal Malya Road, Bangalore-560001",Apple India Private Limited,27 Sep 2021,"Buds : 1.85 x 2.05 x 1.5 cm, Case : 5.1 x 7.2 x 2.55 cm",58 gm
"Bose Sport Earbuds - True Wireless Earbuds - Bluetooth In Ear Headphones for Workouts and Running,Sweat Resistant with Touch control, (Baltic Blue)",,,"16,190",https://www.vijaysales.com/bose-sport-earbuds-true-wireless-earbuds-bluetooth-in-ear-headphones-for-workouts-and-running-sweat-resistant-with-touch-control-baltic-blue/18222,Bose,Bose Sport Earbuds,SPORTEARBUDSBLUE,,,Up to 9 m (30 ft),,,,,,,,TWS,Mexico,China,Bose Corporation India Private Limited,"""Savex Technologies Pvt Ltd. 124B Maker Chamber 3, Nariman Point, Mumbai 400021, India""",Bose Corporation India Private Limited,08 Oct 2020,2.66 x 2.1 x 1.87 cm,6.75 gm
"Bose Sport Earbuds - True Wireless Earbuds - Bluetooth In Ear Headphones for Workouts and Running,Sweat Resistant with Touch control, (Glacier White)",,,"16,190",https://www.vijaysales.com/bose-sport-earbuds-true-wireless-earbuds-bluetooth-in-ear-headphones-for-workouts-and-running-sweat-resistant-with-touch-control-glacier-white/18218,Bose,Bose Sport Earbuds,SPORTEARBUDSWHITE,,,Up to 9 m (30 ft),,,,,,,,TWS,Mexico,China,Bose Corporation India Private Limited,"""Savex Technologies Pvt Ltd. 124B Maker Chamber 3, Nariman Point, Mumbai 400021, India""","Bose Corporation India Pvt. Ltd. Tower B, 4Th Floor, N-10, Dlf Cyber City, Dlf Phase 2, Gurugram, Haryana 122010",08 Oct 2020,2.66 x 2.1 x 1.87 cm,6.75 gm
"Bose QuietComfort Noise Cancelling Earbuds - True Wireless Earphones, Soapstone. The World's Most Effective Noise Cancelling Earbuds",,,"24,290",https://www.vijaysales.com/bose-quietcomfort-noise-cancelling-earbuds-true-wireless-earphones-soapstone-the-world-s-most-effective-noise-cancelling-earbuds/18223,Bose,Bose QuietComfort Black,QCEARBUDSSOAPS,,"Yes, V5.1",Up to 9.144 m (30 ft),,,,,,,,TWS,Mexico,China,Bose Corporation India Private Limited,"Savex Technologies Pvt Ltd. 124B Maker Chamber 3, Nariman Point, Mumbai 400021, India",Bose Corporation India Private Limited,08 Oct 2020,2.6 x 2.7 x 3.9 cm,9 gm
JBL Charge 4 Powerful 30W IPX7 Waterproof Portable Bluetooth Speaker & Built-in 7500 mAh Powerbank,4.4,6365 Ratings & 1118 Reviews,"13,999",https://www.vijaysales.com/jbl-charge-4-powerful-30w-ipx7-waterproof-portable-bluetooth-speaker-built-in-7500-mah-powerbank/11080,JBL,Charge 4,JBLCHARGE4,,Yes,,,,,Portable Bluetooth Speaker,,,,Portable Speaker,"China, Vietnam","China, Vietnam","Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA","Harman International India Pvt.Ltd Prestige Tech Park Jupiter, 2A 4th Floor Marathahalli Outer Ring Road,Kadubeesanahalli, Bangalore 560103","Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA",27 May 2019,46 x 27 x 18 cm,
"boAt Rockerz 410 Bluetooth Headphone (Black & Red) with Powerful Bass, Compact and Foldable Design, Passive Noise Cancellation",,,"1,299",https://www.vijaysales.com/boat-rockerz-410-bluetooth-headphone-black-red-with-powerful-bass-compact-and-foldable-design-passive-noise-cancellation/13197,BOAT,ROCKERZ410BLKRD,ROCKERZ410BLKRD,,,,,,Wireless,,,,"Sound Features
Sensitivity : 110 dBmW
Impedance : 32 ohm
Maximum Frequency Response : 20 Hz
Noise Reduction : 75 dB
Designed For : Mobile, Tablet
Headphone Driver Units : 40 mm
With Microphone : Yes

Connectivity Features
Wireless Range : 10 m
Bluetooth Version : 2.1
Bluetooth Range : 10 m
Battery Type : Rechargeable 300mAh Li-polymer battery
Battery Life : 8 hrs
Battery Capacity : 300 mAh
Charging Time : 2 hrs
Standby Time : 100 hr''",Wireless Headphones,China,China,Imagine Marketing Pvt Ltd,"Imagine Marketing Pvt Ltd, 255, Guru Gobind Industrial Est Jay Coach Goregaon East, Mumbai, Maharashtra – 400063",Imagine Marketing Pvt Ltd,16 Jun 2020,160 x 65 x 175 mm,124 gm
"boAt Rockerz 518 Bluetooth Headphone (Orange) with Thumping Bass, Easy Integrated Controls, Built-in Microphone",,,"1,499",https://www.vijaysales.com/boat-rockerz-518-bluetooth-headphone-orange-with-thumping-bass-easy-integrated-controls-built-in-microphone/13198,BOAT,ROCKERZ518ORN,ROCKERZ518ORN,,,,,,Wireless,,,,"Inline Remote : Yes
Deep Bass : Yes
Headphone Driver Units : 50 mm
With Microphone : Yes
Impedance : 32 ohm
Bluetooth Version : 4.1
Bluetooth Range : 10 m
Battery Life : 10 hrs
Charging Time : 2
Play Time : 10 hrs",Wireless Headphones,China,China,Imagine Marketing Pvt Ltd,"Imagine Marketing Pvt Ltd, 255, Guru Gobind Industrial Est Jay Coach Goregaon East, Mumbai, Maharashtra – 400063",Imagine Marketing Pvt Ltd,16 Jun 2020,190 x 75 x 200 mm,230 gm
Harman Kardon Fly BT ANC Wireless Bluetooth Headphone (Black),,,"16,490",https://www.vijaysales.com/harman-kardon-fly-bt-anc-wireless-bluetooth-headphone-black/13639,Harman Kardon,FLY ANC BLACK,HKFLYANCBLK,,,,,,WIRELESS,,,,"General Specifications
Driver Size : 40 mm
Maximum Input Power : 30 mW
Product Net Weight :281 g (just for bare unit without cable)

Audio Specifications
Frequency response (Wireless) : 16 Hz – 22 kHz
Frequency response (Aux-in) : 16 Hz – 22 kHz
Sensitivity : 100 dB SPL@1kHz/1mW
Microphone sensitivity : -21 dBV@1kHz/Pa
Impedance : 32 ohm

Control and Connection Specifications
Bluetooth transmitted power : <8 dbm
Bluetooth transmitted modulation : GFSK, ?/4 DQPSK, 8DPSK
Bluetooth frequency : 2.402 GHZ-2.480 GHZ
Bluetooth profile version : A2DP 1.3, AVRCP 1.5, HFP 1.6
Bluetooth version : 4.2

Battery
Battery Type : Lithium Ion Polymer Battery ( 3.7v/ 700mah)
Power Supply : 5V 1A
Charging time : <2 hrs
Music playtime with BT on and ANC on : 20hrs
Music playtime with BT on and ANC off : 30hrs",Headphone,China,China,"Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA","Harman International India Pvt.Ltd Prestige Tech Park Jupiter, 2A 4th Floor Marathahalli Outer Ring Road,Kadubeesanahalli, Bangalore 560103","Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA",31 Jul 2020,47 x 22 x 25 cm,
Harman Kardon Onyx Studio 6 Bluetooth Portable Speaker (Black),4.1,143 Ratings & 7 Reviews,"14,999",https://www.vijaysales.com/harman-kardon-onyx-studio-6-bluetooth-portable-speaker-black/13644,HARMAN/KARDON,Onyx Studio 6,HKOS6BLKIN,,V 4.2,,,,,Portable Speaker,,,,Portable Speaker,China,China,"Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA","Harman International India Pvt.Ltd Prestige Tech Park Jupiter, 2A 4th Floor Marathahalli Outer Ring Road,Kadubeesanahalli, Bangalore 560103","Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA",31 Jul 2020,40 x 36 x 40 cm,
"boAt Airdopes 383 True Wireless Bluetooth Headset (Black) with Built-in Microphone, Capacitive Touch Controls, 7mm Dynamic Drivers",,,"1,799",https://www.vijaysales.com/boat-airdopes-383-true-wireless-bluetooth-headset-black-with-built-in-microphone-capacitive-touch-controls-7mm-dynamic-drivers/13651,BOAT,Airdopes 383 Black,AIRDOPES383BLK,,,,,,WIRELESS,,,,"HD Sound : Yes
Bluetooth Version : V5.0+EDR
Driver Size : 7mm x 2 Drivers
Bluetooth Profiles : HSP, HFP, A2DP and AVRCP
Frequency : 20Hz-20KHz
Operating Distance : 10 meters
Water Proof : IPX 5
Earphone battery capacity : 3.7V, 50mAH×2
Talk time/music time : 4 Hours
Charging Time : 1 Hours
Standby Time : >24 Hours
Charging Voltage : 5VDC",True Wireless,China,China,Imagine Marketing Pvt Ltd,"Imagine Marketing Pvt Ltd, 255, Guru Gobind Industrial Est Jay Coach Goregaon East, Mumbai, Maharashtra – 400063",Imagine Marketing Pvt Ltd,27 Jul 2020,51 x 65 x 35 mm,46 gm
"boAt Airdopes 443 True Wireless Bluetooth Headset (Black) with Bluetooth 5.0, IPX6 Water and Sweat Resistance, Capacitive Touch Control",,,"1,999",https://www.vijaysales.com/boat-airdopes-443-true-wireless-bluetooth-headset-black-with-bluetooth-5-0-ipx6-water-and-sweat-resistance-capacitive-touch-control/13652,BOAT,Airdopes 423 Black,AIRDOPES443BLK,,,,,,WIRELESS,,,,"HD Sound : Yes
Bluetooth Version : V5.0+EDR
Driver Size : 6mm x 2 Drivers
Bluetooth Profiles : HSP, HFP, A2DP and AVRCP
Frequency : 20Hz-20KHz
Operating Distance : 10 meters
Water Proof : IPX 6
Earphone battery capacity : 3.7V, 43mAH×2
Talk time/music time : 3.5 Hours
Charging Time : 1.5 Hours
Standby Time : 70 Hours
Charging Voltage : 5VDC",True Wireless,China,China,Imagine Marketing Pvt Ltd,"Imagine Marketing Pvt Ltd, 255, Guru Gobind Industrial Est Jay Coach Goregaon East, Mumbai, Maharashtra – 400063",Imagine Marketing Pvt Ltd,27 Jul 2020,"Case: 70 x 38 x 30.5 mm, Earbuds: 21.8 x 18.5 x 24.8 mm",48.5 gm
"boAt Airdopes 443 True Wireless Bluetooth Headset (Red) with Bluetooth 5.0, IPX6 Water and Sweat Resistance, Capacitive Touch Control",,,"1,999",https://www.vijaysales.com/boat-airdopes-443-true-wireless-bluetooth-headset-red-with-bluetooth-5-0-ipx6-water-and-sweat-resistance-capacitive-touch-control/13653,BOAT,Airdopes 443 RED,AIRDOPES443RD,,,,,,WIRELESS,,,,"HD Sound : Yes
Bluetooth Version : V5.0+EDR
Driver Size : 6mm x 2 Drivers
Bluetooth Profiles : HSP, HFP, A2DP and AVRCP
Frequency : 20Hz-20KHz
Operating Distance : 10 meters
Water Proof : IPX 6
Earphone battery capacity : 3.7V, 43mAH×2
Talk time/music time : 3.5 Hours
Charging Time : 1.5 Hours
Standby Time : 70 Hours
Charging Voltage : 5VDC",True Wireless,China,China,Imagine Marketing Pvt Ltd,"Imagine Marketing Pvt Ltd, 255, Guru Gobind Industrial Est Jay Coach Goregaon East, Mumbai, Maharashtra – 400063",Imagine Marketing Pvt Ltd,27 Jul 2020,"Case: 70 x 38 x 30.5 mm, Earbuds: 21.8 x 18.5 x 24.8 mm",48.5 gm
"Sony WF-SP800N Truly Wireless Sports Noise Cancellation Extra Bass Bluetooth Earbuds/Headphones, 26 hrs Battery Life & Alexa Voice Control (Black)",4,391 Ratings & 84 Reviews,"13,599",https://www.vijaysales.com/sony-wf-sp800n-truly-wireless-sports-noise-cancellation-extra-bass-bluetooth-earbuds-headphones-26-hrs-battery-life-alexa-voice-control-black/13613,SONY,WF-SP800N Black,WF-SP800N/BM,,,,,,WIRELESS,,,,"General Features
HEADPHONE TYPE : Closed, Dynamic
DRIVER UNIT : 6 mm (Dome Type)
MAGNET : Neodymium
WATERPROOF : IP55 (Headset only)
NOISE CANCELLING ON/OFF SWITCH : Yes

Battery
BATTERY CHARGE TIME : Approx. 2.5 Hours (Full charge)
BATTERY CHARGE METHOD : USB charging (with Case)
BATTERY LIFE (CONTINUOUS MUSIC PLAYBACK TIME) : Max. 9 hours (NC ON), Max. 13 hours (NC OFF)
BATTERY LIFE(CONTINUOUS COMMUNICATION TIME) : Max. 7 hours (NC ON), Max. 8 hours (NC OFF)
BATTERY LIFE (WAITING TIME : Max. 15 hours (NC ON), Max. 35 hours (NC OFF)

Bluetooth Specification
BLUETOOTH VERSION : Version 5.0
EFFECTIVE RANGE : Line of sight approx. 10 m
FREQUENCY RANGE : 2.4 GHz band (2.4000 GHz–2.4835 GHz)

Charging Case
BATTERY CHARGE TIME : Approx. 3 hours (Full charge)
WEIGHT : Approx. 59 g",Headphone,Vietnam,Japan,"Sony Corporation, 1-7-1, Konan, Minato-ku, Tokyo, 108-0075, Japan","Sony India Private Limited, A-18, Mohan Cooperative Industrial Estate, Mathura Road, New Delhi - 109891","Sony Corporation, 1-7-1, Konan, Minato-ku, Tokyo, 108-0075, Japan",04 Jan 2017,25.6 x 26.2 x 20.8 cm,
"Sony WF-SP800N Truly Wireless Sports Noise Cancellation Extra Bass Bluetooth Earbuds/Headphones, 26 hrs Battery Life & Alexa Voice Control (Blue)",4,391 Ratings & 84 Reviews,"13,599",https://www.vijaysales.com/sony-wf-sp800n-truly-wireless-sports-noise-cancellation-extra-bass-bluetooth-earbuds-headphones-26-hrs-battery-life-alexa-voice-control-blue/13614,SONY,WF-SP800N Blue,WF-SP800N/LM,,,,,,WIRELESS,,,,"General Features
HEADPHONE TYPE : Closed, Dynamic
DRIVER UNIT : 6 mm (Dome Type)
MAGNET : Neodymium
WATERPROOF : IP55 (Headset only)
NOISE CANCELLING ON/OFF SWITCH : Yes

Battery
BATTERY CHARGE TIME : Approx. 2.5 Hours (Full charge)
BATTERY CHARGE METHOD : USB charging (with Case)
BATTERY LIFE (CONTINUOUS MUSIC PLAYBACK TIME) : Max. 9 hours (NC ON), Max. 13 hours (NC OFF)
BATTERY LIFE(CONTINUOUS COMMUNICATION TIME) : Max. 7 hours (NC ON), Max. 8 hours (NC OFF)
BATTERY LIFE (WAITING TIME : Max. 15 hours (NC ON), Max. 35 hours (NC OFF)

Bluetooth Specification
BLUETOOTH VERSION : Version 5.0
EFFECTIVE RANGE : Line of sight approx. 10 m
FREQUENCY RANGE : 2.4 GHz band (2.4000 GHz–2.4835 GHz)

Charging Case
BATTERY CHARGE TIME : Approx. 3 hours (Full charge)
WEIGHT : Approx. 59 g",Headphone,Vietnam,Japan,"Sony Corporation, 1-7-1, Konan, Minato-ku, Tokyo, 108-0075, Japan","Sony India Private Limited, A-18, Mohan Cooperative Industrial Estate, Mathura Road, New Delhi - 109891","Sony Corporation, 1-7-1, Konan, Minato-ku, Tokyo, 108-0075, Japan",04 Jan 2017,25.6 x 26.2 x 20.8 cm,
"boAt Airdopes 383 True Wireless Bluetooth Headset (Blue) with Built-in Microphone, Capacitive Touch Controls, 7mm Dynamic Drivers",,,"1,799",https://www.vijaysales.com/boat-airdopes-383-true-wireless-bluetooth-headset-blue-with-built-in-microphone-capacitive-touch-controls-7mm-dynamic-drivers/13709,BOAT,Airdopes 383 Blue,AIRDOPES383BLU,,,,,,WIRELESS,,,,"HD Sound : Yes
''Bluetooth Version : V5.0+EDR
''Driver Size : 7mm x 2 Drivers
''Bluetooth Profiles : HSP, HFP, A2DP and AVRCP
''Frequency : 20Hz-20KHz
''Operating Distance : 10 meters
''Water Proof : IPX 5
''Earphone battery capacity : 3.7V, 50mAHÃ—2
''Talk time/music time : 4 Hours
''Charging Time : 1 Hours
''Standby Time : >24 Hours
''Charging Voltage : 5VDC",True Wireless,China,China,Imagine Marketing Pvt Ltd,"Imagine Marketing Pvt Ltd, 255, Guru Gobind Industrial Est Jay Coach Goregaon East, Mumbai, Maharashtra – 400063",Imagine Marketing Pvt Ltd,27 Jul 2020,51 x 65 x 35 mm,46 gm
"boAt Rockerz 410 On-Ear Bluetooth Headphone (Black) with Powerful Bass, Compact and Foldable Design, Passive Noise Cancellation",,,"1,299",https://www.vijaysales.com/boat-rockerz-410-on-ear-bluetooth-headphone-black-with-powerful-bass-compact-and-foldable-design-passive-noise-cancellation/13710,BOAT,ROCKERZ 410 Black,ROCKERZ410BLK,,,,,,Wireless,,,,"Sound Features
Sensitivity : 110 dBmW
Impedance : 32 ohm
Maximum Frequency Response : 20 Hz
Noise Reduction : 75 dB
Designed For : Mobile, Tablet
Headphone Driver Units : 40 mm
With Microphone : Yes

Connectivity Features
Wireless Range : 10 m
Bluetooth Version : 2.1
Bluetooth Range : 10 m
Battery Type : Rechargeable 300mAh Li-polymer battery
Battery Life : 8 hrs
Battery Capacity : 300 mAh
Charging Time : 2 hrs
Standby Time : 100 hr''",Wireless Headphones,China,China,Imagine Marketing Pvt Ltd,"Imagine Marketing Pvt Ltd, 255, Guru Gobind Industrial Est Jay Coach Goregaon East, Mumbai, Maharashtra – 400063",Imagine Marketing Pvt Ltd,16 Jun 2020,160 x 65 x 175 mm,124 gm
"boAt Rockerz 255R Bluetooth Lifestyle Neckband (Red) with Magnetic Eartips, Super Extra Bass, Multi-Functional Buttons",,,999,https://www.vijaysales.com/boat-rockerz-255r-bluetooth-lifestyle-neckband-red-with-magnetic-eartips-super-extra-bass-multi-functional-buttons/13711,BOAT,ROCKERZ 255R Red,ROCKERZ255RRED,,,,,,Wireless,,,,"Bluetooth : Yes, Bluetooth Profile (HSP/ HFP/ A2DP and AVRCP)
Bluetooth Version : CSR 4.1
Syncing range (metre) : >10 (Bluetooth)
compatibledevices : iOS and Android Devices
Driver Unit : 1 cm
Water-proof : Yes, IPX4
Audio playback time (Hours) : 6
Battery Type : Li-Polymer
Battery capacity : 110 mAh
Charging time 1 hour 30 minutes
Talktime (Hours) : 6 hours 30 minutes
Standby time (Hours) : 150
Frequency response : 20 Hz-20 KHz
Impedance (Ohms) : 16 (Speaker)
Audio : Smooth Sound And Pitched Bass",Wireless Earphones,China,China,Imagine Marketing Pvt Ltd,"Imagine Marketing Pvt Ltd, 255, Guru Gobind Industrial Est Jay Coach Goregaon East, Mumbai, Maharashtra – 400063",Imagine Marketing Pvt Ltd,16 Jun 2020,45 x 1 x 1 cm,26 gm
"boAt Rockerz 255R Bluetooth Lifestyle Neckband (Neon) with Magnetic Eartips, Super Extra Bass, Multi-Functional Buttons",,,999,https://www.vijaysales.com/boat-rockerz-255r-bluetooth-lifestyle-neckband-neon-with-magnetic-eartips-super-extra-bass-multi-functional-buttons/14127,Boat,ROCKERZ255RNEON,ROCKERZ255RNEON,,,,,,Wireless,,,,"IPX Rating : IPX5
Driver Type: Dynamic
Driver Size:10mm
Impe3dance: 16ohms
Senstivity(dB): -98dB3DB
Frequency Response: 20Hz-20KHz
Batttery Capacity:110mAh
Playback Time: 6 hrs
Compatability:All Bluetooth Device
Charging Time: 1.5hrs
Standby Time: 150hrs
Bluetooth version: v4.1",Wireless Earphones,China,China,Imagine Marketing Pvt Ltd,"Imagine Marketing Pvt Ltd, 255, Guru Gobind Industrial Est Jay Coach Goregaon East, Mumbai, Maharashtra – 400063",Imagine Marketing Pvt Ltd,16 Jun 2020,45 x 1 x 1 cm,26 gm
"Sony WF-1000XM3 Truly Wireless Bluetooth In-Ear Headphones with Battery Life 32 hours, Alexa voice control, Active Noise Cancellation (Black)",4.1,3629 Ratings & 751 Reviews,"13,040",https://www.vijaysales.com/sony-wf-1000xm3-truly-wireless-bluetooth-in-ear-headphones-with-battery-life-32-hours-alexa-voice-control-active-noise-cancellation-black/13725,SONY,WF-1000XM3BMIN,WF-1000XM3BMIN,,,,,,WIRELESS,,,,"General Features
VOLUME CONTROL: Yes
HEADPHONE TYPE: Closed, dynamic
FREQUENCY RESPONSE (BLUETOOTH COMMUNICATION): 20 Hz–20,000 Hz (44.1 kHz Sampling)
MAGNET: Neodymium
NFC: Yes (Case)
DSEE HX: Yes
DRIVER UNIT: 0.24 "", dome type (CCAW Voice coil)

Battery
BATTERY LIFE (WAITING TIME): Max. 9 hrs (NC ON)/Max. 15 hrs (NC OFF)
BATTERY LIFE (CONTINUOUS MUSIC PLAYBACK TIME): Max. 6 hrs (NC ON)/Max. 8 hrs (NC OFF)
BATTERY LIFE (CONTINUOUS COMMUNICATION TIME): Max. 4 hrs (NC ON)/Max. 4.5 hrs (NC OFF)
BATTERY CHARGE METHOD: USB charging (with Case)
BATTERY CHARGE TIME: Approx. 1.5 hrs

Bluetooth Specification
SUPPORTED AUDIO FORMAT(S): SBC, AAC
FREQUENCY RANGE: 2.4 GHz band (2.4000–2.4835 GHz)
BLUETOOTH VERSION: Bluetooth Specification Version 5.0
SUPPORTED CONTENT PROTECTION: SCMS-T
EFFECTIVE RANGE: Line of sight approx. 30 ft (10 m)
PROFILE: A2DP, AVRCP, HFP, HSP

Noise Canceling
NOISE CANCELING ON/OFF SWITCH: Yes

Charging Case
WEIGHT: Approx. 2.8 oz
BATTERY CHARGE TIME: Approx. 3.5 hrs",Headphone,Malaysia,Japan,"Sony Corporation, 1-7-1, Konan, Minato-ku, Tokyo, 108-0075, Japan","Sony India Private Limited, A-18, Mohan Cooperative Industrial Estate, Mathura Road, New Delhi - 109891","Sony Corporation, 1-7-1, Konan, Minato-ku, Tokyo, 108-0075, Japan",08 Apr 2020,28 x 36 x 20 cm,77 gm
Sony Bluetooth Headphone NC WH-1000XM4BM (Black),4.5,7137 Ratings & 2045 Reviews,"26,990",https://www.vijaysales.com/sony-bluetooth-headphone-nc-wh-1000xm4bm-black/14474,Sony,WH-1000XM4BM,WH-1000XM4BM,,,,,,Wireless,,,,"Technical Specifications
General Features
HEADPHONE TYPE: Closed, dynamic
DRIVER UNIT: 40 mm, dome type (CCAW Voice coil)
MAGNET: Neodymium
DIAPHRAGM: Aluminium-coated LCP
FREQUENCY RESPONSE: 4 Hz-40,000 Hz
FREQUENCY RESPONSE (ACTIVE OPERATION): 4 Hz-40,000 Hz
FREQUENCY RESPONSE (BLUETOOTH® COMMUNICATION): 20 Hz–20,000 Hz (44.1 kHz Sampling)/20 Hz–40,000 Hz (LDAC 96 kHz Sampling, 990 kbps)
SENSITIVITIES (DB/MW): 105 dB/mW (1 kHz) (when connecting via the headphone cable with the unit turned on), 101 dB/mW (1 kHz) (when connecting via the headphone cable with the unit turned off)
CORD TYPE: Single-sided (detachable)
CORD LENGTH: Headphone cable (approx. 1.2 m, OFC strands, gold-plated stereo mini plug)
PLUG: Gold-plated L-shaped stereo mini plug
WEARING STYLE: Circumaural
NFC: Yes
DSEE EXTREME: Yes
PASSIVE OPERATION: Yes

Battery
BATTERY CHARGE TIME: Approx. 3 hours (Full charge)
BATTERY CHARGE METHOD: USB
BATTERY LIFE(CONTINUOUS MUSIC PLAYBACK TIM ITH INTERNAL MEMORY): Max. 30 hours (NC ON), Max. 38 hours (NC OFF)
BATTERY LIFE (WAITING TIME): Max. 30 hours (NC ON), Max. 200 hours (NC OFF)

Bluetooth® Specification
BLUETOOTH® VERSION: Version 5.0
EFFECTIVE RANGE: Line of sight approx. 10 m (30 ft)
FREQUENCY RANGE: 2.4 GHz band (2.4000 GHz–2.4835 GHz)
PROFILE: A2DP, AVRCP, HFP, HSP
SUPPORTED AUDIO FORMAT(S): SBC, AAC, LDAC
SUPPORTED CONTENT PROTECTION: SCMS-T

Noise Cancelling
NOISE CANCELLING ON/OFF SWITCH: Yes
PERSONAL NC OPTIMISER: Yes
ATMOSPHERIC PRESSURE OPTIMISING: Yes
AMBIENT SOUND MODE: Yes
QUICK ATTENTION: Yes

Portable Headphone Amplifier
VOLUME CONTROL: Touch Sensor

Processor/Transmitter
INPUT(S): Stereo Mini Jack",Headphone,Malaysia,Japan,"Sony Corporation, 1-7-1, Konan, Minato-ku, Tokyo, 108-0075, Japan","Sony India Private Limited, A-18, Mohan Cooperative Industrial Estate, Mathura Road, New Delhi - 109891","Sony Corporation, 1-7-1, Konan, Minato-ku, Tokyo, 108-0075, Japan",19 Sep 2020,19.3 x 32.1 x 24.8 cm,254 gm
"boAt Stone Grenade RTL Portable Bluetooth Speaker with IPX5 Water and Shock Resistance, 5W Output, 10 m Wireless Range",,,"1,199",https://www.vijaysales.com/boat-stone-grenade-rtl-portable-bluetooth-speaker-with-ipx5-water-and-shock-resistance-5w-output-10-m-wireless-range/11381,BOAT,Grenade RTL,STONEGRENADERTL,,V4.2,,,,,Portable Bluetooth Speaker,,,,Speaker,China,China,Imagine Marketing Pvt Ltd,"Imagine Marketing Pvt Ltd, 255, Guru Gobind Industrial Est Jay Coach Goregaon East, Mumbai, Maharashtra – 400063",Imagine Marketing Pvt Ltd,11 Jan 2020,12 x 5 x 5 cm,350 gm
JBL Pulse 4 Portable Bluetooth Speaker (White),4.3,438 Ratings & 103 Reviews,"17,499",https://www.vijaysales.com/jbl-pulse-4-portable-bluetooth-speaker-white/13554,JBL,Pulse 4,JBLPULSE4WHT,,4.2 V,,,,,Portable Bluetooth Speaker,,,,Portable Speaker,China,China,"Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA","Harman International India Pvt.Ltd Prestige Tech Park Jupiter, 2A 4th Floor Marathahalli Outer Ring Road,Kadubeesanahalli, Bangalore 560103","Harman Consumer INC 8500 Balboa Blvd Northridge, CA 91329, USA",11 Jul 2020,25 x 20 x 28 cm,
